,Eigen,Degree,Between,Between Sub,RWR,RWR Sub
IFIH1,0.018618454704767456,0.018024385933910585,0.0008467408959419745,2812.9999088048226,0.0005302131463477444,0.0004970011264380073
RNASEL,0.006882091045917995,0.006184838310655593,0.0002317939414715561,722.9351445484108,0.0002060150701599281,0.00016256032008702046
EGR1,0.046510798888965525,0.025622901572716027,0.0011969716050202503,4066.280681852927,0.0006755022536138961,0.0006120132318731298
MAVS,0.007164258979846279,0.004417741650468281,6.843669117544592e-05,264.1553605645837,0.00014304679284621175,0.00016836249870446008
IFIT2,0.005107416266995214,0.002297225658243506,2.2330437263596067e-05,33.495682515946186,9.122035208775252e-05,5.769128699836273e-05
DDX58,0.01305061509996845,0.007775225304824174,0.00031360386178112023,507.77140884223815,0.00023419994707314374,0.00023982337346207592
TLR3,0.03498471997104373,0.015373740943629617,0.0002459341916047627,623.6388489647777,0.0003858575890671958,0.0004199553792860417
ISG15,0.02522898755936423,0.025446191906697297,0.0019236529735758149,5947.821605805238,0.0006898192422737713,0.0006388684651637789
SAMHD1,0.008712453021268877,0.006184838310655593,0.0002793814639679968,825.316132449866,0.00021379497495450445,0.000212849800846695
RAB39B,0.0025903523405815727,0.0024739353242622373,5.938596618687521e-05,260.09651236555897,0.00010776591228420395,0.000136904651199623
ADAR,0.006270136714808517,0.006714967308711787,0.0002462343113093575,721.3593137233659,0.00022734523388267348,0.0002453601269134695
IRF7,0.01920910639667109,0.00989574129704895,0.0001611789979143108,549.5626149898592,0.0002660326918230224,0.0002896509544895137
STAT3,0.1136134331647224,0.08764799434529069,0.01085997308810759,34535.542154134084,0.0023046742985315095,0.0023590779947196636
IFIT1,0.008431628912160741,0.0035341933203746245,2.538672657781023e-05,65.15346790850253,0.00011390889601182902,8.781474761376533e-05
IFIT3,0.006496455248445384,0.0033574836543558933,6.258092679838692e-05,186.5756744935189,0.00011747481035663862,9.320275859411854e-05
NEDD4,0.018389227989164633,0.017670966601873124,0.001164264492588486,3998.1004912980625,0.0005318494500510952,0.0005441247458250999
CD81,0.01968945084403934,0.013960063615479768,0.0006582866433291657,1556.4964050136934,0.00040092466406488976,0.0004636174976639597
FYN,0.053119832290404775,0.03763915886198975,0.003238996789035797,10283.728260522832,0.0010278525706667121,0.0011933680336691295
IFNA17,0.005512243166964291,0.003004064322318431,2.377633910892992e-05,78.39777658603884,0.00010131497525323817,7.347317084108719e-05
MRPS18B,0.0004417135508338412,0.0014136773281498499,9.48027599331008e-06,35.55511451553693,6.870772081922087e-05,9.294913501552553e-05
VAPA,0.00545730363060336,0.013783353949461036,0.0009043391438412238,3113.308012056597,0.0004409864077912903,0.000530277874074585
ATP6V0B,0.0025049626136450886,0.0074218059727867115,0.0002590880047355522,526.2722746151152,0.0002592460195150494,0.0003110909697168582
MT-ATP8,0.0007210639265085541,0.001590386994168581,1.4691825818988827e-05,34.35297930061169,7.30513505904638e-05,0.0001037256374478631
IRF4,0.020067864718049777,0.011132708959180067,0.00010566406722336904,382.68022547675196,0.0002897204317993276,0.00031581303949220575
PSMB8,0.014195307816121387,0.013783353949461036,0.0005220611625159789,1591.0846369503174,0.000387755306159422,0.0003374126717623746
OASL,0.00855851730180969,0.016787418271779465,0.0004938755646244539,1646.4387967307791,0.00046700572521707985,0.00047630050833835283
IRF6,0.007692703802619989,0.006184838310655593,9.937720112089917e-05,331.64230384982255,0.0001854764166285856,0.0002124668395597617
SLC10A1,0.005025902786255232,0.00724509630676798,0.0001424828594858045,319.1406990498172,0.00023300644478421145,0.00027836009956874166
HLA-A,0.011864811544976463,0.009188902632974024,0.00030113041500334857,764.2296906842414,0.0002705854359180574,0.00031136467410738575
DDX4,0.0019201614239066098,0.003887612652412087,0.00017907343136667735,621.3231411826193,0.0001587910606971998,9.6960821075855e-05
HLA-B,0.006776570229027709,0.007068386640749249,0.00016288292635639875,417.64047132894274,0.00021791574928346717,0.00025740185355376373
ATHL1,0.00014369342839830156,0.001590386994168581,1.623316556258586e-05,41.47037566996013,0.00011184703248632639,8.387695420555384e-05
EIF2AK2,0.009664824018300688,0.008835483300936562,0.0002461498674934793,811.6855490878121,0.000254954101750054,0.00027993014169234927
SETD7,0.010577450280636877,0.00865877363491783,0.00012209659140672609,479.39634649802827,0.000260882577670364,0.0002009307915576159
DDX60,0.0018343879371440475,0.002297225658243506,2.3757359149473805e-05,69.6200712875887,9.081638297946511e-05,5.7232699604398465e-05
HOXB1,0.0027110459479083864,0.005831418978618131,0.0002669178463616566,1030.5050631080085,0.00019850869531637044,0.00014184808297133095
LCN2,0.03161707729151434,0.025092772574659836,0.001708769386004423,3301.866444902235,0.0007449320784265244,0.0006718406851138251
PDZK1IP1,0.0008606493580133169,0.0056547093125993994,0.0004410499374242125,956.0100770751841,0.00025464996577584127,0.000294288107694991
MAP1S,0.0009021450415648414,0.003180773988337162,7.340853388617229e-05,86.8435390099074,0.00015046447474114096,0.0001704568180676127
MAP9,0.0013434576686824839,0.0017670966601873123,0.00012250406719574593,152.2656574821677,9.827827239863147e-05,7.097400292743919e-05
SSR3,0.006153302831552964,0.021205159922247748,0.0011069879698815273,3636.6081125455958,0.0006624407299628682,0.0007593979467599589
MAP6,0.0005424906403783766,0.0026506449902809685,5.481060045008652e-05,137.87225268413366,0.00013082381879847948,0.00011764284532396905
DNAJC7,0.0039417892804090365,0.0065382576426930555,0.00031373417287550176,962.2989601252392,0.0002796112365942858,0.00027019063018990537
FCRLA,0.0009719061351605054,0.0028273546562996997,3.242518648741368e-05,87.5116066655865,0.00013326077647610564,0.00010311742549493677
STIL,0.0016455895627200646,0.006008128644636862,0.0002662554380503369,1155.6909336355711,0.0003152604218332624,0.0002490721188653883
REG1A,0.0022930960233899173,0.002297225658243506,6.402937955841422e-05,53.97384035508234,0.00010873543380584687,6.554306798397795e-05
TAL1,0.009897982185417294,0.010602579961123874,0.0006598962066321675,1780.4367361293205,0.0003604415264666918,0.00027699911417648337
RTEL1,0.0018905612905283143,0.007068386640749249,0.000215504731027048,710.9531110204972,0.00029382008133706607,0.00022413661363070907
OR51Q1,0.0009520798631716045,0.002120515992224775,4.552319415487434e-05,171.16381087509595,9.579025099155998e-05,0.00013209929629391477
DAB2,0.020593778422872445,0.03428167520763386,0.009436333611778782,27760.93930568609,0.0013732195073843027,0.0014794939190293079
SPINT2,0.0031562015953262128,0.00865877363491783,0.0015133114973412561,1385.6224355572165,0.00037440383675726026,0.0004010645756241537
